target_id	model_id	TP	FP	precision	FPR	recall	F1	F2	F05	BA	EF	num_uniq_F	max_edge	features
CHEMBL211	tr3_pharm8_0	20	2	0.909	0.003	0.052000000000000005	0.098	0.064	0.21	0.524	2.6860000000000004	4	7.422790228470348	aaDAAPHH
CHEMBL211	tr3_pharm8_4	17	2	0.895	0.003	0.044000000000000004	0.084	0.054000000000000006	0.183	0.521	2.6430000000000002	4	8.003137368726911	aaDAAPHH
CHEMBL211	tr3_pharm8_3	15	3	0.833	0.004	0.039	0.07400000000000001	0.048	0.163	0.517	2.4619999999999997	4	8.156038160565366	aaDAAPHH
CHEMBL211	tr3_pharm8_5	14	3	0.8240000000000001	0.004	0.036000000000000004	0.069	0.045	0.154	0.516	2.4330000000000003	4	8.181631582057005	aaDAAPHH
CHEMBL211	tr8_pharm9_1	8	0	1.0	0.0	0.021	0.04	0.026000000000000002	0.095	0.51	2.9539999999999997	6	8.139778158337847	aDAAAPHHH
CHEMBL211	tr8_pharm9_0	3	0	1.0	0.0	0.008	0.015	0.01	0.038	0.504	2.9539999999999997	6	8.087898061227941	aDAAAPHHH
CHEMBL211	tr9_pharm6_0	1	0	1.0	0.0	0.003	0.005	0.003	0.013000000000000001	0.501	2.9539999999999997	4	9.577674646288896	aaHHHH
CHEMBL211	centroid_pharm4_0	104	35	0.748	0.048	0.28	0.408	0.32	0.561	0.616	2.21	3	7.592852022905466	aAPH
CHEMBL211	tr12_pharm5_8	0	4	0	0	0	0	0	0	0	0	4	6.788893422962017	APHHH
CHEMBL211	tr12_pharm5_1	0	9	0	0	0	0	0	0	0	0	4	7.5675456445758735	APHHH
CHEMBL211	tr12_pharm5_37	0	4	0	0	0	0	0	0	0	0	4	8.813087060189968	APHHH
CHEMBL211	tr12_pharm5_10	0	5	0	0	0	0	0	0	0	0	4	9.12449779841191	AAPHH
CHEMBL211	tr12_pharm5_3	0	3	0	0	0	0	0	0	0	0	4	9.571783984696935	AAPHH
CHEMBL211	tr12_pharm5_25	6	7	0.462	0.01	0.015	0.03	0.019	0.068	0.503	1.363	4	9.177538311195184	AAPHH
CHEMBL211	tr12_pharm5_20	6	9	0.4	0.012	0.015	0.03	0.019	0.067	0.502	1.182	4	10.57065474387735	AAPHH
CHEMBL211	tr12_pharm5_12	6	11	0.353	0.015	0.015	0.03	0.019	0.066	0.5	1.043	4	7.905868052921162	APHHH
CHEMBL211	tr12_pharm5_27	6	10	0.375	0.014	0.015	0.03	0.019	0.066	0.501	1.108	4	6.210955617474762	APHHH
CHEMBL211	tr12_pharm5_33	6	10	0.375	0.014	0.015	0.03	0.019	0.066	0.501	1.108	4	7.138982048686093	APHHH
CHEMBL211	tr12_pharm5_5	6	18	0.25	0.025	0.015	0.029	0.019	0.062	0.495	0.739	4	8.696276507194284	AAPHH
CHEMBL211	tr12_pharm5_26	5	9	0.357	0.012	0.013	0.025	0.016	0.056	0.5	1.055	4	6.63757914213874	APHHH
CHEMBL211	tr12_pharm5_18	5	13	0.278	0.018	0.013	0.025	0.016	0.054	0.497	0.821	4	10.57065474387735	AAPHH
CHEMBL211	tr12_pharm5_15	4	8	0.333	0.011	0.01	0.02	0.013	0.046	0.5	0.985	4	10.740637871119807	AAPHH
CHEMBL211	tr12_pharm5_24	4	10	0.286	0.014	0.01	0.02	0.013	0.045	0.498	0.844	4	9.51753020806516	AAPHH
